time,filter,magnitude,error
2457534.67846,OGLE-I,13.719,0.003
2457534.69309,OGLE-I,13.72,0.003
2457534.70747,OGLE-I,13.717,0.003
2457534.72144,OGLE-I,13.723,0.003
2457534.73626,OGLE-I,13.72,0.003
2457534.75528,OGLE-I,13.726,0.003
2457534.77602,OGLE-I,13.72,0.003
2457534.79009,OGLE-I,13.722,0.003
2457534.80415,OGLE-I,13.724,0.003
2457534.81812,OGLE-I,13.726,0.003
2457534.83342,OGLE-I,13.719,0.003
2457534.84935,OGLE-I,13.721,0.003
2457534.8638,OGLE-I,13.721,0.003
2457534.87856,OGLE-I,13.722,0.003
2457534.89574,OGLE-I,13.726,0.003
2457534.9098,OGLE-I,13.723,0.003
2457534.93212,OGLE-I,13.725,0.003
2457534.942,OGLE-I,13.708,0.003
2457536.57074,OGLE-I,13.721,0.003
2457536.59008,OGLE-I,13.72,0.003
2457536.6041,OGLE-I,13.72,0.003
2457536.61934,OGLE-I,13.718,0.003
2457536.63934,OGLE-I,13.717,0.003
2457536.65534,OGLE-I,13.72,0.003
2457536.66949,OGLE-I,13.721,0.003
2457536.69261,OGLE-I,13.724,0.003
2457536.70659,OGLE-I,13.725,0.003
2457536.72975,OGLE-I,13.72,0.003
2457536.74476,OGLE-I,13.719,0.003
2457536.75932,OGLE-I,13.72,0.003
2457536.77369,OGLE-I,13.723,0.003
2457536.78779,OGLE-I,13.718,0.003
2457536.80191,OGLE-I,13.723,0.003
2457536.81599,OGLE-I,13.727,0.003
2457536.83026,OGLE-I,13.724,0.003
2457536.8443,OGLE-I,13.724,0.003
2457536.85838,OGLE-I,13.723,0.003
2457536.87246,OGLE-I,13.708,0.003
2457536.88977,OGLE-I,13.721,0.003
2457536.90425,OGLE-I,13.717,0.003
2457536.91916,OGLE-I,13.707,0.003
2457545.61809,OGLE-I,13.72,0.003
2457545.6325,OGLE-I,13.717,0.003
2457545.64202,OGLE-I,13.722,0.003
2457545.65368,OGLE-I,13.718,0.003
2457545.66573,OGLE-I,13.723,0.003
2457545.67752,OGLE-I,13.718,0.003
2457545.72508,OGLE-I,13.721,0.003
2457545.73566,OGLE-I,13.717,0.003
2457545.74819,OGLE-I,13.725,0.003
2457545.7618,OGLE-I,13.719,0.003
2457545.77287,OGLE-I,13.715,0.003
2457545.79693,OGLE-I,13.725,0.003
2457545.81994,OGLE-I,13.706,0.003
2457545.83389,OGLE-I,13.715,0.003
2457545.84798,OGLE-I,13.706,0.003
2457545.8622,OGLE-I,13.718,0.003
2457545.87615,OGLE-I,13.72,0.003
2457545.8917,OGLE-I,13.717,0.003
2457545.90562,OGLE-I,13.723,0.003
2457545.92003,OGLE-I,13.722,0.003
2457545.93416,OGLE-I,13.72,0.003
2457546.60238,OGLE-I,13.722,0.003
2457546.61314,OGLE-I,13.719,0.003
2457546.62592,OGLE-I,13.716,0.003
2457546.6413,OGLE-I,13.717,0.003
2457546.6553,OGLE-I,13.719,0.003
2457546.66665,OGLE-I,13.721,0.003
2457546.68091,OGLE-I,13.718,0.003
2457546.69848,OGLE-I,13.714,0.003
2457546.71242,OGLE-I,13.719,0.003
2457546.72717,OGLE-I,13.721,0.003
2457546.74472,OGLE-I,13.722,0.003
2457546.75888,OGLE-I,13.72,0.003
2457546.77287,OGLE-I,13.72,0.003
2457546.78692,OGLE-I,13.72,0.003
2457546.80094,OGLE-I,13.717,0.003
2457546.81561,OGLE-I,13.717,0.003
2457546.82964,OGLE-I,13.724,0.003
2457546.84377,OGLE-I,13.721,0.003
2457546.85788,OGLE-I,13.715,0.003
2457546.87186,OGLE-I,13.718,0.003
2457546.88585,OGLE-I,13.714,0.003
2457546.89986,OGLE-I,13.723,0.003
2457546.91398,OGLE-I,13.723,0.003
2457546.92795,OGLE-I,13.723,0.003
2457546.93884,OGLE-I,13.718,0.003
2457547.53909,OGLE-I,13.717,0.003
2457547.55429,OGLE-I,13.714,0.003
