time,filter,magnitude,error
57522.89506,OGLE-I,13.715,0.003
57522.90911,OGLE-I,13.718,0.003
57522.92496,OGLE-I,13.713,0.003
57522.93894,OGLE-I,13.72,0.003
57523.85063,OGLE-I,13.705,0.003
57523.86483,OGLE-I,13.719,0.003
57523.87906,OGLE-I,13.714,0.003
57523.89318,OGLE-I,13.704,0.003
57523.90727,OGLE-I,13.716,0.003
57523.92134,OGLE-I,13.717,0.003
57523.93539,OGLE-I,13.717,0.003
57526.6107,OGLE-I,13.717,0.003
57526.63037,OGLE-I,13.716,0.003
57526.64555,OGLE-I,13.719,0.003
57526.66078,OGLE-I,13.722,0.003
57526.6755,OGLE-I,13.718,0.003
57526.69031,OGLE-I,13.717,0.003
57526.70612,OGLE-I,13.718,0.003
57526.72069,OGLE-I,13.717,0.003
57526.73507,OGLE-I,13.72,0.003
57526.7567,OGLE-I,13.721,0.003
57526.78595,OGLE-I,13.721,0.003
57526.80161,OGLE-I,13.718,0.003
57526.82903,OGLE-I,13.722,0.003
57526.84714,OGLE-I,13.719,0.003
57526.86123,OGLE-I,13.719,0.003
57526.87627,OGLE-I,13.721,0.003
57526.89036,OGLE-I,13.715,0.003
57526.90449,OGLE-I,13.719,0.003
57526.91867,OGLE-I,13.717,0.003
57526.93268,OGLE-I,13.718,0.003
57527.92146,OGLE-I,13.722,0.003
57527.93246,OGLE-I,13.725,0.003
57528.76753,OGLE-I,13.72,0.003
57528.84529,OGLE-I,13.726,0.003
57528.86859,OGLE-I,13.725,0.003
57528.88337,OGLE-I,13.722,0.003
57528.89759,OGLE-I,13.725,0.003
57528.91193,OGLE-I,13.722,0.003
57528.92599,OGLE-I,13.72,0.003
57528.94001,OGLE-I,13.723,0.003
57529.75222,OGLE-I,13.72,0.003
57529.76718,OGLE-I,13.721,0.003
57529.78255,OGLE-I,13.72,0.003
57529.79784,OGLE-I,13.72,0.003
57529.81224,OGLE-I,13.72,0.003
57529.84357,OGLE-I,13.724,0.003
57529.89111,OGLE-I,13.72,0.003
57530.63543,OGLE-I,13.72,0.003
57530.64829,OGLE-I,13.718,0.003
57530.66422,OGLE-I,13.718,0.003
57530.67652,OGLE-I,13.718,0.003
57530.69417,OGLE-I,13.717,0.003
57530.71438,OGLE-I,13.718,0.003
57530.74009,OGLE-I,13.72,0.003
57530.76228,OGLE-I,13.719,0.003
57530.77895,OGLE-I,13.721,0.003
57530.79979,OGLE-I,13.724,0.003
57530.81899,OGLE-I,13.721,0.003
57530.83585,OGLE-I,13.724,0.003
57530.85806,OGLE-I,13.719,0.003
57530.88037,OGLE-I,13.709,0.003
57530.904,OGLE-I,13.717,0.003
57530.91589,OGLE-I,13.722,0.003
57534.64963,OGLE-I,13.719,0.003
57534.65903,OGLE-I,13.724,0.003
57534.67846,OGLE-I,13.719,0.003
57534.69309,OGLE-I,13.72,0.003
57534.70747,OGLE-I,13.717,0.003
57534.72144,OGLE-I,13.723,0.003
57534.73626,OGLE-I,13.72,0.003
57534.75528,OGLE-I,13.726,0.003
57534.77602,OGLE-I,13.72,0.003
57534.79009,OGLE-I,13.722,0.003
57534.80415,OGLE-I,13.724,0.003
57534.81812,OGLE-I,13.726,0.003
57534.83342,OGLE-I,13.719,0.003
57534.84935,OGLE-I,13.721,0.003
57534.8638,OGLE-I,13.721,0.003
57534.87856,OGLE-I,13.722,0.003
57534.89574,OGLE-I,13.726,0.003
57534.9098,OGLE-I,13.723,0.003
57534.93212,OGLE-I,13.725,0.003
57534.942,OGLE-I,13.708,0.003
57536.57074,OGLE-I,13.721,0.003
57536.59008,OGLE-I,13.72,0.003
57536.6041,OGLE-I,13.72,0.003
57536.61934,OGLE-I,13.718,0.003
57536.63934,OGLE-I,13.717,0.003
57536.65534,OGLE-I,13.72,0.003
57536.66949,OGLE-I,13.721,0.003
57536.69261,OGLE-I,13.724,0.003
57536.70659,OGLE-I,13.725,0.003
57536.72975,OGLE-I,13.72,0.003
57536.74476,OGLE-I,13.719,0.003
57536.75932,OGLE-I,13.72,0.003
57536.77369,OGLE-I,13.723,0.003
57536.78779,OGLE-I,13.718,0.003
57536.80191,OGLE-I,13.723,0.003
57536.81599,OGLE-I,13.727,0.003
57536.83026,OGLE-I,13.724,0.003
57536.8443,OGLE-I,13.724,0.003
57536.85838,OGLE-I,13.723,0.003
57536.87246,OGLE-I,13.708,0.003
57536.88977,OGLE-I,13.721,0.003
57536.90425,OGLE-I,13.717,0.003
57536.91916,OGLE-I,13.707,0.003
57545.61809,OGLE-I,13.72,0.003
57545.6325,OGLE-I,13.717,0.003
57545.64202,OGLE-I,13.722,0.003
57545.65368,OGLE-I,13.718,0.003
57545.66573,OGLE-I,13.723,0.003
57545.67752,OGLE-I,13.718,0.003
57545.72508,OGLE-I,13.721,0.003
57545.73566,OGLE-I,13.717,0.003
57545.74819,OGLE-I,13.725,0.003
57545.7618,OGLE-I,13.719,0.003
57545.77287,OGLE-I,13.715,0.003
57545.79693,OGLE-I,13.725,0.003
57545.81994,OGLE-I,13.706,0.003
57545.83389,OGLE-I,13.715,0.003
57545.84798,OGLE-I,13.706,0.003
57545.8622,OGLE-I,13.718,0.003
57545.87615,OGLE-I,13.72,0.003
57545.8917,OGLE-I,13.717,0.003
57545.90562,OGLE-I,13.723,0.003
57545.92003,OGLE-I,13.722,0.003
57545.93416,OGLE-I,13.72,0.003
57546.60238,OGLE-I,13.722,0.003
57546.61314,OGLE-I,13.719,0.003
57546.62592,OGLE-I,13.716,0.003
57546.6413,OGLE-I,13.717,0.003
57546.6553,OGLE-I,13.719,0.003
57546.66665,OGLE-I,13.721,0.003
57546.68091,OGLE-I,13.718,0.003
57546.69848,OGLE-I,13.714,0.003
57546.71242,OGLE-I,13.719,0.003
57546.72717,OGLE-I,13.721,0.003
57546.74472,OGLE-I,13.722,0.003
57546.75888,OGLE-I,13.72,0.003
57546.77287,OGLE-I,13.72,0.003
57546.78692,OGLE-I,13.72,0.003
57546.80094,OGLE-I,13.717,0.003
57546.81561,OGLE-I,13.717,0.003
57546.82964,OGLE-I,13.724,0.003
57546.84377,OGLE-I,13.721,0.003
57546.85788,OGLE-I,13.715,0.003
57546.87186,OGLE-I,13.718,0.003
57546.88585,OGLE-I,13.714,0.003
57546.89986,OGLE-I,13.723,0.003
57546.91398,OGLE-I,13.723,0.003
57546.92795,OGLE-I,13.723,0.003
57546.93884,OGLE-I,13.718,0.003
57547.53909,OGLE-I,13.717,0.003
57547.55429,OGLE-I,13.714,0.003
57547.56828,OGLE-I,13.713,0.003
57547.58226,OGLE-I,13.718,0.003
57547.59642,OGLE-I,13.721,0.003
57547.61031,OGLE-I,13.718,0.003
57547.62465,OGLE-I,13.718,0.003
57547.63892,OGLE-I,13.72,0.003
57547.6532,OGLE-I,13.722,0.003
57547.67057,OGLE-I,13.722,0.003
57547.68894,OGLE-I,13.719,0.003
57547.70628,OGLE-I,13.714,0.003
57547.72035,OGLE-I,13.723,0.003
57547.7348,OGLE-I,13.716,0.003
57547.75276,OGLE-I,13.721,0.003
57547.76676,OGLE-I,13.716,0.003
57547.78076,OGLE-I,13.706,0.003
57547.79486,OGLE-I,13.72,0.003
57547.80898,OGLE-I,13.718,0.003
57547.82316,OGLE-I,13.72,0.003
57547.83734,OGLE-I,13.721,0.003
57547.85142,OGLE-I,13.72,0.003
57547.86546,OGLE-I,13.716,0.003
57547.87939,OGLE-I,13.718,0.003
57547.89339,OGLE-I,13.718,0.003
57547.90733,OGLE-I,13.713,0.003
57547.92569,OGLE-I,13.718,0.003
57547.93499,OGLE-I,13.719,0.003
57548.56277,OGLE-I,13.721,0.003
57548.58742,OGLE-I,13.718,0.003
57548.60236,OGLE-I,13.719,0.003
57548.61768,OGLE-I,13.714,0.003
57548.63491,OGLE-I,13.721,0.003
57548.6518,OGLE-I,13.721,0.003
57548.66469,OGLE-I,13.711,0.003
57548.67822,OGLE-I,13.722,0.003
57548.69805,OGLE-I,13.719,0.003
57548.71319,OGLE-I,13.722,0.003
57548.72907,OGLE-I,13.722,0.003
57548.74234,OGLE-I,13.729,0.003
57548.75849,OGLE-I,13.722,0.003
57548.77136,OGLE-I,13.712,0.003
57548.78693,OGLE-I,13.723,0.003
57548.8006,OGLE-I,13.719,0.003
57548.8213,OGLE-I,13.721,0.003
57548.836,OGLE-I,13.72,0.003
57548.84969,OGLE-I,13.721,0.003
57548.86487,OGLE-I,13.72,0.003
57548.87873,OGLE-I,13.719,0.003
57548.89262,OGLE-I,13.719,0.003
57548.90774,OGLE-I,13.716,0.003
57548.92309,OGLE-I,13.719,0.003
57549.56921,OGLE-I,13.714,0.003
57549.58408,OGLE-I,13.719,0.003
57549.59555,OGLE-I,13.716,0.003
57549.61066,OGLE-I,13.718,0.003
57549.62207,OGLE-I,13.719,0.003
57549.636,OGLE-I,13.721,0.003
57549.65005,OGLE-I,13.719,0.003
57549.66802,OGLE-I,13.72,0.003
57549.68256,OGLE-I,13.719,0.003
57549.69966,OGLE-I,13.721,0.003
57549.714,OGLE-I,13.72,0.003
57549.72885,OGLE-I,13.717,0.003
57549.74386,OGLE-I,13.719,0.003
57549.75823,OGLE-I,13.718,0.003
57549.7722,OGLE-I,13.707,0.003
57549.79198,OGLE-I,13.706,0.003
57549.80594,OGLE-I,13.716,0.003
57549.81997,OGLE-I,13.719,0.003
57549.83398,OGLE-I,13.717,0.003
57549.84801,OGLE-I,13.715,0.003
57549.86198,OGLE-I,13.718,0.003
57549.87596,OGLE-I,13.715,0.003
57549.88993,OGLE-I,13.714,0.003
57549.90402,OGLE-I,13.719,0.003
57549.918,OGLE-I,13.719,0.003
57549.9305,OGLE-I,13.718,0.003
57550.56857,OGLE-I,13.716,0.003
57550.5787,OGLE-I,13.717,0.003
57550.59185,OGLE-I,13.717,0.003
57550.60507,OGLE-I,13.714,0.003
57550.6161,OGLE-I,13.694,0.003
57550.6302,OGLE-I,13.715,0.003
57550.64437,OGLE-I,13.716,0.003
57550.65853,OGLE-I,13.715,0.003
57550.67292,OGLE-I,13.714,0.003
57550.68707,OGLE-I,13.714,0.003
57550.70614,OGLE-I,13.715,0.003
57550.72218,OGLE-I,13.715,0.003
57550.74057,OGLE-I,13.712,0.003
57550.75606,OGLE-I,13.714,0.003
57550.77008,OGLE-I,13.718,0.003
57550.78458,OGLE-I,13.712,0.003
57550.79849,OGLE-I,13.703,0.003
57550.81253,OGLE-I,13.712,0.003
