RA,DEC
18:17:58.2120,-24:15:10.810
18:17:32.1850,-23:57:54.540
18:17:46.4500,-24:03:07.930
18:16:46.7480,-24:33:14.360
18:15:23.8880,-24:17:09.100
18:15:36.7070,-24:22:40.170
18:19:16.8550,-24:18:28.360
18:19:07.4570,-24:16:53.820
18:19:34.5860,-24:01:49.140
18:19:38.7390,-24:14:39.910
18:19:42.5500,-24:12:08.340
18:19:09.8620,-24:06:12.040
18:19:30.4620,-24:08:11.260
18:19:52.9340,-23:35:56.100
18:19:51.2420,-23:38:44.580
18:18:04.3030,-23:20:10.890
18:19:48.0730,-23:28:08.770
18:19:43.7860,-23:30:13.540
18:15:14.1340,-21:22:58.310
18:16:07.6210,-21:24:07.900
18:15:45.7600,-21:47:03.820
18:15:29.2510,-21:34:38.860
18:15:35.1630,-21:58:37.340
18:16:11.3530,-22:30:15.480
18:17:28.5800,-22:25:50.270
18:15:39.5690,-22:13:00.420
18:19:59.1680,-22:13:48.420
18:20:10.9650,-22:13:22.740
18:20:36.4780,-22:24:27.190
18:19:57.6360,-22:30:29.210
18:20:26.9340,-21:53:42.180
18:20:33.8860,-21:58:41.140
18:20:44.5400,-21:55:02.220
18:19:37.8790,-21:50:40.670
18:20:38.7220,-22:06:13.290
18:35:49.6780,-23:05:19.640
